numero_turno,nome_municipio,sigla_partido,descricao_cargo,nome,total_votos
1,AUREA,PR,PREFEITO,ANTONIO PINTO ANDREOLA OLIBONI,1513
1,AUREA,PV,PREFEITO,ITO ROST DE BORBA,1213
1,AUREA,PR,VEREADOR,JOAO BORGES,122
1,AUREA,PR,VEREADOR,VANJA ANTONIO VARGAS,268
1,AUREA,PR,VEREADOR,MILTON DE LIMA MENEZES,115
1,AUREA,PG,VEREADOR,CRISTINA JEOVA MARTINS,52
1,AUREA,PSF,VEREADOR,LOURENSO LIZETE KRUG,22
1,AUREA,PG,VEREADOR,GOMERCINDO RODRIGUES DE SOUZA,18
1,AUREA,PG,VEREADOR,LUCI SILVA DE FREITAS,99
1,AUREA,PG,VEREADOR,ADELAR APARECIDA RAMOS ALMEIDA,216
1,AUREA,PG,VEREADOR,GABRIEL GILBERTO PUCCINELLI ROSSETTINI,34
1,AUREA,PG,VEREADOR,CARLOS GENESIA DE SOUZA,46
1,AUREA,PVN,VEREADOR,NELSON CRISTIANO DA ROSA,255
1,AUREA,PR,VEREADOR,GENOIR ANTONIO BONET,24
1,AUREA,PVN,VEREADOR,LORECI DE MATOS FERREIRA SANTOS,119
1,AUREA,PV,VEREADOR,MIRIAM RODRIGUES,65
1,AUREA,PV,VEREADOR,HERMINIO VIEIRA CAMBOIM,126
1,AUREA,PV,VEREADOR,ELTON MAURO DE ARREAL,131
1,AUREA,PV,VEREADOR,JOSECLER DOS SANTOS VARGAS,86
1,AUREA,PGB,VEREADOR,NELSON MARQUES,160
1,AUREA,PGB,VEREADOR,CLAUDETE VASCONCELOS SEVERO,65
1,AUREA,PGB,VEREADOR,ROSANE SIDNEI DOS SANTOS DE SOUZA,53
1,AUREA,PV,VEREADOR,SALETE DA SILVA,46
1,AUREA,PGB,VEREADOR,EUCLESIO KELLM,69
1,AUREA,PGB,VEREADOR,OSMAR MARCOS SANTANA ELPO,65
1,AUREA,PGB,VEREADOR,SILMAR CARMEN DA ROSA,220
1,AUREA,PGB,VEREADOR,RELSON ROSANI DA CUNHA DORES,121
1,AUREA,PR,VEREADOR,IVONE ADEMIR GOTZ,8
1,AUREA,PVN,VEREADOR,CAROLINA GUSTAVO LUCAS,25
1,TRES ARROIOS,PGB,PREFEITO,JORGE RODRIGUES GOMES,908
1,TRES ARROIOS,PG,PREFEITO,LIRIO VARGAS DE SOUZA,1350
1,TRES ARROIOS,PGB,VEREADOR,KAREN SANTANA ALVAREZ,8
1,TRES ARROIOS,PV,VEREADOR,CLAUDIO DAMIANI,41
1,TRES ARROIOS,PSF,VEREADOR,AMELIA DE ALMEIDA VELLOZO,21
1,TRES ARROIOS,PV,VEREADOR,ADEMIR GIOLO,69
1,TRES ARROIOS,PGB,VEREADOR,SANDRA JORGE TREIN,10
1,TRES ARROIOS,PST,VEREADOR,ANTONIO SUING,7
1,TRES ARROIOS,PEN,VEREADOR,VALDIR ALFREDO DREHER,126
1,TRES ARROIOS,PGB,VEREADOR,IEDA MARILIA BITENCOURT DOS SANTOS,91
1,TRES ARROIOS,PSF,VEREADOR,PAULO KLEBER VIACAVA,22
1,TRES ARROIOS,PV,VEREADOR,DOUGLAS MARIA KLEINHANS DE AVILA,131
1,TRES ARROIOS,PGB,VEREADOR,NELDO MUSSOI,68
